Velocidad [RPM];Voltaje[V];Corriente[A];Temperatura[°C];lat;lon;Velocidad[GPS: km/h];Satelites; Altitud; Hora; Minutos; Year
300;53.07540181;-0.01353913;31.04463561;4.7957425;-75.6885035;8.2414;8;1483.4;19;47;2024
240;53.08863987;0;31.5125816;4.79572;-75.68856567;9.46372;8;1484.7;19;47;2024
180;53.0990794;0.00204548;34.36268369;4.7957175;-75.68859117;8.16732;8;1484.8;19;47;2024
240;53.10233099;-0.01445341;34.3666726;4.795711;-75.68862433;8.16732;8;1485.6;19;47;2024
180;53.12411616;0;34.70019442;4.795709667;-75.688672;10.96384;8;1487.2;19;47;2024
120;53.13029253;-0.00841079;34.35469409;4.795659167;-75.68871633;9.51928;8;1487.1;19;47;2024
120;53.13789194;0;30.73008113;4.795659167;-75.68871633;9.51928;8;1487.1;19;47;2024
180;53.04702583;2.17843757;33.47016312;4.795659167;-75.68871633;9.51928;8;1487.1;19;47;2024
240;52.43044136;2.82369773;37.92991385;4.795608333;-75.6887575;3.16692;7;1488.2;19;47;2024
240;52.5122063;3.19257775;38.19243114;4.795608333;-75.6887575;3.16692;7;1488.2;19;47;2024
240;49.66113126;16.0734346;39.44449625;4.795598667;-75.68880617;8.96368;7;1489.5;19;47;2024
240;49.54488823;16.06239905;38.1812245;4.795598667;-75.68880617;8.96368;7;1489.5;19;47;2024
180;49.46659323;15.95653396;38.72792219;4.795600167;-75.68884283;4.20404;8;1490.8;19;47;2024
180;49.39350908;16.03328869;38.87021416;4.795600167;-75.68884283;4.20404;8;1490.8;19;47;2024
120;49.51230703;12.17822802;37.95462016;4.795609333;-75.68893567;8.31548;8;1495.7;19;47;2024
180;50.78123004;7.33786116;36.44183563;4.795609333;-75.68893567;8.31548;8;1495.7;19;47;2024
240;51.5579918;4.30037495;36.22394294;4.7956115;-75.68907067;12.46396;8;1494.4;19;47;2024
240;51.72130333;3.47213344;35.30092335;4.7956115;-75.68907067;12.46396;8;1494.4;19;47;2024
240;51.96094763;1.41957795;34.55457732;4.7956285;-75.689265;19.59416;8;1488.9;19;47;2024
240;52.56082855;0.27799431;34.99286035;4.7956285;-75.689265;19.59416;8;1488.9;19;47;2024
240;52.72758626;-0.01397742;33.46032224;4.795608667;-75.6894355;17.33472;8;1485.9;19;47;2024
240;52.76062794;0;34.39844302;4.795587333;-75.68954317;10.11192;8;1485.9;19;47;2024
120;52.78507944;0.00622325;32.5660265;4.795592167;-75.68958817;11.9454;8;1485.9;19;47;2024
180;51.41021628;14.7951363;35.92046676;4.7955985;-75.68961467;7.66728;8;1482;19;47;2024
180;49.41047406;16.0384589;39.12795889;4.795610333;-75.68964283;2.0372;8;1482;19;47;2024
240;49.30390706;16.03495533;39.6712259;4.795606167;-75.68966083;5.11152;8;1481.3;19;48;2024
240;49.25597256;15.96882158;39.58309555;4.795599833;-75.68973067;8.09324;8;1481.3;19;48;2024
240;49.96792396;12.30980877;38.90495641;4.795597667;-75.689758;7.53764;8;1481.7;19;48;2024
240;49.16931018;13.13630966;39.37602234;4.795606;-75.689804;8.00064;8;1481.7;19;48;2024
240;51.69430583;3.01496063;36.65199733;4.795612667;-75.68983467;8.72292;8;1480.8;19;48;2024
300;52.3868933;0.30199168;36.13635741;4.795619167;-75.68985483;1.62976;8;1480.8;19;48;2024
240;52.40486985;0.5032586;37.16724928;4.795633667;-75.689874;7.16724;8;1480.2;19;48;2024
240;52.15274209;5.18186516;36.0287139;4.795663667;-75.68991317;8.63032;8;1480.2;19;48;2024
240;51.71005128;0.04701543;35.87216871;4.7956765;-75.68993667;8.40808;8;1480.2;19;48;2024
240;49.63645249;16.09531866;37.96556383;4.795727667;-75.69002483;1.5742;8;1478.3;19;48;2024
120;49.22846258;15.64940055;40.25235359;4.795755167;-75.690073;1.44456;7;1474.8;19;48;2024
120;49.27574944;15.87437032;40.15117582;4.795751167;-75.69013883;1.1112;6;1475.3;19;48;2024
120;49.09457573;15.94624518;40.1434602;4.795744167;-75.690177;4.63;7;1474.4;19;48;2024
240;49.15192928;5.47687425;38.91094325;4.795748333;-75.69022567;4.51888;6;1478.2;19;48;2024
240;52.28812178;-0.01365917;33.66493722;4.795749833;-75.69025;1.2038;7;1480.3;19;48;2024
240;52.29847219;0;32.74268606;4.795778833;-75.69031983;7.48208;8;1485.6;19;48;2024
180;52.35038465;0.24032045;36.80693168;4.795787833;-75.6903675;5.3708;8;1485.5;19;48;2024
180;52.32780329;4.08084479;35.62921987;4.795787833;-75.6903675;5.3708;8;1485.1;19;48;2024
180;52.01577448;0.04962147;33.88518004;4.795811667;-75.690382;4.03736;8;1488;19;48;2024
240;52.41804256;5.2400063;35.6192911;4.795811667;-75.690382;4.03736;8;1489.7;19;48;2024
180;50.71687867;3.47868972;40.01323699;4.795832667;-75.69035983;2.9632;8;1492.9;19;48;2024
120;50.25804135;13.63934715;39.1831613;4.795832667;-75.69035983;2.9632;8;1494.2;19;48;2024
240;52.03719127;2.47531989;38.66571286;4.7958595;-75.69036567;4.63;8;1496.7;19;48;2024
240;52.09168984;2.22267609;37.86114756;4.7958595;-75.69036567;4.63;7;1495.4;19;48;2024
240;50.39706626;15.0827195;38.04211361;4.795875333;-75.690409;6.92648;5;1493.1;19;48;2024
180;49.14480967;16.05841251;40.25960983;4.795891833;-75.6904395;6.92648;7;1491.8;19;48;2024
180;49.05315777;15.98320437;40.26549363;4.79592;-75.69048617;6.44496;8;1490.4;19;48;2024
180;50.95385812;0.85008566;40.06115406;4.795936833;-75.69051283;6.44496;8;1489.6;19;48;2024
240;50.42271352;10.37496909;39.28160101;4.795967833;-75.69056317;4.94484;8;1489.4;19;48;2024
180;49.94039171;9.29884362;38.4200838;4.795968167;-75.6905775;4.94484;8;1488.7;19;48;2024
240;50.56843471;4.14303388;38.05283872;4.795969333;-75.69060517;3.11136;8;1488.4;19;48;2024
240;50.89525087;7.29187085;35.31569288;4.795965833;-75.690616;3.11136;8;1489;19;48;2024
300;50.55753024;7.11936811;38.37030374;4.7959585;-75.6906505;5.44488;8;1489.3;19;48;2024
240;50.53984186;11.58152374;37.59837629;4.795944;-75.69067433;5.44488;8;1489.6;19;48;2024
300;50.76991411;6.86614783;38.46254814;4.795910667;-75.6907105;8.16732;8;1491.1;19;48;2024
240;50.59152259;5.49428463;38.74068324;4.795894667;-75.6907285;8.16732;8;1492.7;19;48;2024
300;52.16860934;1.00874162;36.62555219;4.795877333;-75.69078;2.92616;8;1491.3;19;48;2024
240;51.94654351;-0.0084415;38.97763768;4.795877333;-75.69078;2.92616;8;1491.3;19;48;2024
180;52.26608409;0;34.34568693;4.795841833;-75.69083467;5.68564;8;1482.9;19;48;2024
120;52.22788206;0.15624171;38.00563206;4.795831833;-75.690848;3.20396;8;1481.2;19;48;2024
120;52.33325627;0.06674431;34.63552369;4.795831833;-75.690848;3.20396;8;1481.2;19;48;2024
240;52.37126222;0.02465818;33.62000663;4.795777833;-75.69090317;3.25952;8;1476.9;19;49;2024
180;52.40249467;0.04479743;35.76111847;4.795777833;-75.69090317;3.25952;8;1476.9;19;49;2024
180;52.40331313;0.13849494;35.86228922;4.795700833;-75.6909075;4.7226;8;1478.3;19;49;2024
240;52.32025142;4.12490324;36.38232812;4.795700833;-75.6909075;4.7226;8;1478.3;19;49;2024
240;51.4295817;13.46709566;36.61992545;4.7956995;-75.69087483;6.90796;8;1482.5;19;49;2024
240;52.39832658;0.01587971;34.94849509;4.7956995;-75.69087483;6.90796;8;1482.5;19;49;2024
240;52.43467778;0.06546292;34.07549781;4.795687833;-75.6908425;5.14856;8;1482.3;19;49;2024
300;52.43302302;0.19446135;32.32863593;4.795687833;-75.6908425;5.14856;8;1482.3;19;49;2024
240;51.24208753;7.26899015;36.69468455;4.795704667;-75.690823;2.48168;8;1482.8;19;49;2024
180;51.50646853;1.2086448;37.5776461;4.795704667;-75.690823;2.48168;8;1482.8;19;49;2024
180;52.33650637;2.27496585;36.82977491;4.7957065;-75.69081583;1.40752;8;1480.1;19;49;2024
180;51.07010709;4.45689805;39.0638723;4.7957065;-75.69081583;1.40752;8;1480.1;19;49;2024
180;52.34564616;4.54790716;37.90577806;4.795729;-75.69078733;4.38924;8;1479.3;19;49;2024
180;51.72201039;0.41068196;39.74118136;4.795729;-75.69078733;4.38924;8;1479.3;19;49;2024
180;52.28000693;1.69367588;34.9450604;4.795745667;-75.6907335;3.07432;8;1482.1;19;49;2024
180;52.05816837;2.79057432;36.08884188;4.795745667;-75.6907335;3.07432;8;1482.1;19;49;2024
180;51.87798098;-0.01137696;38.7121238;4.795767667;-75.69068667;3.74104;8;1489.3;19;49;2024
180;52.44861696;0;34.26269138;4.795767667;-75.69068667;3.74104;8;1489.3;19;49;2024
120;52.44414436;0.48884232;34.64389895;4.795767667;-75.69068667;3.74104;8;1489.3;19;49;2024
120;52.46012005;0.14891771;34.60653741;4.795793833;-75.69063983;3.241;8;1493.7;19;49;2024
120;52.47298527;0.0534754;34.90446483;4.795806167;-75.690625;1.74088;8;1493.7;19;49;2024
120;52.40465298;0.02116717;34.55077154;4.795806667;-75.69061917;1.5742;8;1493.2;19;49;2024
0;50.88242279;5.8635834;40.22822404;4.795806667;-75.69061917;1.5742;8;1493.2;19;49;2024
60;51.5528983;0.18165726;40.10580669;4.795812;-75.69060983;2.09276;8;1490.5;19;49;2024
120;52.49065731;0.01966245;34.35968944;4.795812;-75.69060983;2.09276;8;1490.5;19;49;2024
180;52.50783025;0.02025429;35.15138433;4.795807;-75.69057567;4.55592;8;1490.1;19;49;2024
240;52.52949808;0.0220298;33.46524535;4.795807;-75.69057567;4.55592;8;1490.1;19;49;2024
240;52.53348197;0.01616585;32.55114092;4.795799667;-75.69055333;3.7966;7;1490.7;19;49;2024
240;52.54429137;0.01237893;31.94888749;4.795795667;-75.69053917;3.25952;7;1490.7;19;49;2024
240;52.56766149;0.02322046;35.01484576;4.795793833;-75.69053067;3.46324;8;1491;19;49;2024
180;52.57779205;0.015849;30.37122799;4.795793833;-75.69053067;3.46324;8;1491;19;49;2024
180;52.53856359;1.83927789;34.17171677;4.795770167;-75.690479;4.48184;8;1491.7;19;49;2024
60;52.09530832;1.35609211;38.24839965;4.795764167;-75.6904645;2.14832;8;1491.7;19;49;2024
180;52.29757499;-0.01698687;37.68199907;4.795765;-75.69045317;1.14824;7;1491.2;19;49;2024
120;52.57938145;0;34.17171677;4.795751833;-75.690409;2.57428;7;1491.2;19;49;2024
60;52.59866517;0.01811306;33.68840293;4.79575;-75.69038367;1.87052;7;1491.2;19;49;2024
0;52.5980101;0.01680655;32.7883638;4.7957475;-75.690371;1.0186;8;1487.9;19;49;2024
0;52.61766369;0.01551679;34.7357625;4.795738167;-75.69031667;0.2778;8;1487.9;19;49;2024
0;52.61411206;0.00964865;35.18372739;4.795731167;-75.6902965;0.3704;8;1489.8;19;49;2024
0;52.62478925;0.01417957;31.24261941;4.795713833;-75.6902605;0.14816;8;1489.8;19;49;2024
0;52.63169943;0.01886821;34.21435208;4.795708167;-75.69023833;0.33336;8;1493.8;19;50;2024
0;52.65510222;0.02210657;32.70814575;4.795699667;-75.69020133;0.35188;8;1493.8;19;50;2024
0;52.65391983;0.01248501;33.8862984;4.795698;-75.690187;0.25928;8;1497.9;19;50;2024
0;52.65889301;0.01704105;34.15810626;4.795688667;-75.69016267;0.5556;8;1497.9;19;50;2024
0;52.66532637;0.023039;33.81185821;4.7956825;-75.6901545;0.81488;8;1499.4;19;50;2024
0;52.68161845;0.02489687;34.65132856;4.795676;-75.6901365;0.90748;8;1499.4;19;50;2024
0;52.68282164;0.01769849;34.54791479;4.7956735;-75.69012667;0.70376;8;1501.7;19;50;2024
0;52.68795674;0.02316602;33.66964035;4.795667667;-75.69010983;0.61116;8;1501.7;19;50;2024
0;52.69446882;0.02205074;32.1398066;4.7956655;-75.69010383;0.33336;8;1502.2;19;50;2024
0;52.69663456;0.0152418;33.60810682;4.795664167;-75.69009917;0.96304;8;1502.2;19;50;2024
0;52.6976595;0.01088677;36.46410894;4.795663167;-75.69010033;0.66672;6;1501.4;19;50;2024
60;52.70471228;0.00888513;34.9690371;4.7956635;-75.69009783;0.59264;6;1501.4;19;50;2024
0;52.71042372;0.01280606;34.79163818;4.7956625;-75.69009433;0.16668;7;1500.2;19;50;2024
0;52.71937189;0.01532416;33.56861046;4.795658;-75.6900875;0.33336;7;1500.2;19;50;2024
0;52.72221201;0.01110312;35.50443169;4.795657;-75.6900855;0.11112;8;1499.4;19;50;2024
0;52.72744812;0.01279349;30.6714057;4.795652833;-75.6900785;0.31484;8;1499.4;19;50;2024
0;52.73077546;0.01283956;29.84189822;4.795650333;-75.69007467;0.51856;8;1498.8;19;50;2024
0;52.74232905;0.58454146;32.8895964;4.795646;-75.69006783;0.38892;8;1498.8;19;50;2024
60;51.87732591;3.17055689;40.02928;4.795644833;-75.69006467;0.1852;8;1498.6;19;50;2024
0;51.96304504;11.29807364;38.42318632;4.795644167;-75.69005517;0.51856;8;1498.6;19;50;2024
120;50.76665807;3.92269832;39.66618547;4.795642667;-75.69005367;0.90748;8;1498.9;19;50;2024
180;52.57332242;-0.01704549;35.37644715;4.795622667;-75.69005417;3.74104;8;1498.9;19;50;2024
120;52.66068146;0;34.49130946;4.795618333;-75.69006083;2.94468;8;1498.2;19;50;2024
60;52.67840697;0.1693822;34.15600838;4.795609333;-75.69006083;2.74096;8;1497.9;19;50;2024
60;52.01696727;1.95785215;38.18912747;4.795595;-75.69005883;0.98156;8;1497.9;19;50;2024
60;51.31228254;3.81373305;38.35767573;4.795587667;-75.6900635;1.27788;8;1497.3;19;50;2024
180;52.54178547;3.22236229;37.3195562;4.795574;-75.69006383;1.64828;8;1497.3;19;50;2024
120;51.3938425;7.96911261;38.93012727;4.7955675;-75.6900645;1.25936;8;1496.7;19;50;2024
180;50.21010833;8.18218141;39.32519696;4.795551;-75.69006817;0.926;8;1496.7;19;50;2024
240;51.99488799;0.56787786;38.44342617;4.795555667;-75.690054;6.27828;7;1497.2;19;50;2024
240;52.57395075;0.02263839;33.57581766;4.7955575;-75.6900225;4.8152;7;1497.2;19;50;2024
180;52.61336192;0.01730068;34.54219511;4.795568833;-75.69001683;5.31524;8;1497;19;50;2024
180;52.5930384;2.94015589;33.28457457;4.795581;-75.68997267;5.40784;8;1497;19;50;2024
180;52.30059931;1.6981398;39.01946826;4.795581333;-75.68997;1.81496;7;1495.8;19;50;2024
180;52.27764809;0.02830412;37.21571678;4.795591;-75.68995383;2.98172;7;1495.8;19;50;2024
180;51.51237753;8.79359371;35.48453653;4.795593833;-75.68995083;3.92624;8;1495.7;19;50;2024
120;52.58708781;0.02736472;35.57496518;4.795585;-75.68992133;5.8338;8;1495.7;19;50;2024
240;52.62572655;0.00587568;33.84133621;4.795581667;-75.68989983;6.68572;8;1495.4;19;50;2024
180;52.63872695;0.03725428;33.98140275;4.795574667;-75.68986533;5.57452;8;1495.4;19;50;2024
180;49.4042457;16.0061758;36.29990383;4.795578833;-75.68987033;2.35204;8;1497.1;19;50;2024
240;49.31664751;15.93217646;38.58061536;4.795588167;-75.68985783;3.48176;8;1497.1;19;51;2024
120;49.16851548;15.63973851;38.472667;4.795592333;-75.68984283;5.61156;8;1494.1;19;51;2024
240;52.31063481;0.02912209;37.409643;4.795603333;-75.68979367;10.03784;8;1494.1;19;51;2024
120;49.68971817;15.93176468;36.29532013;4.795614333;-75.689779;8.83404;8;1492.6;19;51;2024
240;49.10375414;15.80242008;38.77913939;4.795615667;-75.68974983;8.1488;8;1492.6;19;51;2024
180;49.55827335;12.14109575;38.94901855;4.795617833;-75.68972833;9.09332;8;1489.3;19;51;2024
180;49.84326455;11.65175708;37.78237206;4.795618833;-75.6896535;13.57516;8;1489.3;19;51;2024
180;50.05914658;8.90321363;38.07057755;4.7956205;-75.689623;11.8528;8;1490.3;19;51;2024
240;50.75630172;6.3057411;34.54124102;4.795627667;-75.68955217;12.038;8;1490.3;19;51;2024
180;51.93966453;0.55091276;38.85617962;4.795630167;-75.68950033;12.27876;8;1492.7;19;51;2024
180;52.0958;0.13592379;33.58061601;4.795607833;-75.689462;7.88952;8;1492.7;19;51;2024
240;52.25057779;0.02149659;31.13088755;4.795604833;-75.689434;7.75988;8;1493.8;19;51;2024
240;52.28895807;0.02409007;32.74555346;4.795600833;-75.68938417;6.61164;8;1493.8;19;51;2024
180;52.30034085;0.30001377;33.41203972;4.795599667;-75.68936933;5.8338;8;1494.4;19;51;2024
240;49.15112122;15.96119468;37.19939571;4.795611667;-75.6892995;6.40792;8;1494.4;19;51;2024
240;49.03393643;15.90546277;38.31140224;4.7956145;-75.68928633;6.14864;8;1499.1;19;51;2024
300;48.93946075;12.15140128;38.78452056;4.795629333;-75.68919117;12.94548;8;1499.1;19;51;2024
180;48.9294;15.98747426;38.60403093;4.795639;-75.68912283;13.90852;7;1503.6;19;51;2024
180;48.89473624;10.74954695;38.72882472;4.795672;-75.68903583;14.05668;7;1503.6;19;51;2024
120;48.87311298;15.76361838;38.59870563;4.795689833;-75.68899267;14.96416;7;1503.7;19;51;2024
180;51.20831057;0.72198057;39.03672765;4.795691333;-75.68891533;13.09364;7;1503.7;19;51;2024
240;50.31509336;9.50174787;38.60972939;4.795678667;-75.68889267;8.35252;8;1500.9;19;51;2024
240;51.07498372;9.55186988;38.39864701;4.795667833;-75.6888015;10.61196;8;1500.9;19;51;2024
240;50.3215178;4.18298716;38.37167549;4.795670833;-75.68877;9.01924;8;1500.4;19;51;2024
300;51.96831531;1.35568174;34.2749428;4.795670833;-75.68877;9.01924;8;1500.4;19;51;2024
240;51.97896726;4.87769792;37.74164816;4.795706333;-75.68869017;6.55608;8;1497.1;19;51;2024
240;48.94790685;15.895911;39.22956781;4.795706333;-75.68869017;6.55608;8;1497.1;19;51;2024
240;48.85303159;15.89950391;40.20756063;4.795695833;-75.68864833;6.07456;8;1499.1;19;51;2024
240;50.36668942;5.95608187;39.33363611;4.795695833;-75.68864833;6.07456;8;1499.1;19;51;2024
240;48.82172933;15.28990201;38.78278705;4.7956385;-75.68867633;11.44536;8;1502.8;19;51;2024
300;51.07460197;11.89573547;37.88194087;4.7956385;-75.68867633;11.44536;8;1502.8;19;51;2024
240;50.16978066;7.85691178;39.76406684;4.7956135;-75.68869267;3.53732;8;1500.6;19;51;2024
240;51.86019308;0.17929968;34.27086306;4.7956135;-75.68869267;3.53732;8;1500.6;19;51;2024
240;51.62895923;6.00129749;40.13180105;4.795636667;-75.68869483;3.48176;8;1500.3;19;51;2024
180;50.57577268;10.10884283;39.03559441;4.795636667;-75.68869483;3.48176;8;1500.3;19;51;2024
180;51.83220331;1.89493164;38.10341843;4.795647;-75.6886575;4.09292;8;1500.5;19;51;2024
180;51.71287506;0.73469393;38.11193585;4.795647;-75.6886575;4.09292;8;1500.5;19;51;2024
180;51.04116962;12.88012321;36.48621043;4.795642;-75.68861417;5.3708;8;1499.6;19;51;2024
240;48.83710046;15.93298884;39.3349113;4.795642;-75.68861417;5.3708;8;1499.6;19;51;2024
240;48.78444826;3.13760657;39.5474507;4.795623167;-75.68859783;0.463;7;1498.6;19;51;2024
240;49.83891672;0.49540837;39.18328523;4.795623167;-75.68859783;0.463;7;1498.6;19;51;2024
180;50.831461;0.01622588;38.4311368;4.795631167;-75.68858817;4.57444;8;1495;19;52;2024
180;48.83102657;14.73322917;39.91113129;4.795631167;-75.68858817;4.57444;8;1495;19;52;2024
240;50.31490619;5.66965444;38.90811094;4.795670333;-75.688526;11.00088;8;1492;19;52;2024
300;50.36623934;5.54366405;38.63404184;4.795697667;-75.688432;14.13076;8;1490.4;19;52;2024
180;48.84373731;12.11571789;38.26162651;4.795714;-75.6883845;14.98268;8;1489.8;19;52;2024
180;48.99775754;12.04949201;37.39838485;4.795743333;-75.68827767;18.44592;8;1488.6;19;52;2024
180;49.31242149;10.74396077;37.50493764;4.795748;-75.68823067;18.2422;8;1489.1;19;52;2024
240;50.51352913;1.41674159;36.10170692;4.795757167;-75.6881385;17.81624;8;1490.5;19;52;2024
240;51.83124818;0.00578216;33.81867862;4.795769833;-75.68809883;16.09388;8;1490.6;19;52;2024
180;51.88823781;0.0061381;33.41203972;4.795788333;-75.68802517;14.4456;6;1491.1;19;52;2024
180;51.31592033;8.49591018;36.21629865;4.795797833;-75.68799917;12.46396;6;1490.8;19;52;2024
180;50.075048;11.64368212;38.08059959;4.795811333;-75.687969;7.2228;6;1490.7;19;52;2024
180;50.71169604;13.71424541;38.70424894;4.795803333;-75.68795817;5.61156;7;1490.6;19;52;2024
300;50.88167711;2.88807551;38.58640429;4.795799;-75.687944;3.87068;6;1491.4;19;52;2024
240;48.72511019;15.87061689;39.20365454;4.795782;-75.68793267;5.72268;7;1491.6;19;52;2024
240;48.67718905;15.83600272;38.10794826;4.795777;-75.6879005;5.31524;7;1492.1;19;52;2024
240;48.64986921;15.83941836;38.69485142;4.795773833;-75.68789517;4.27812;6;1492.2;19;52;2024
240;48.61012977;15.37579814;39.12429802;4.7957455;-75.68789;4.4448;5;1492.4;19;52;2024
240;51.67645702;0.38609973;35.49044343;4.795730167;-75.68788467;4.75964;5;1492.5;19;52;2024
240;48.85323063;13.66848123;39.32947955;4.795660167;-75.687882;6.00048;7;1491.3;19;52;2024
180;51.61917328;0.36188182;36.64743839;4.795635;-75.68788483;4.66704;7;1490.4;19;52;2024
180;49.59558116;8.8024685;37.7487052;4.795562167;-75.68781417;6.90796;7;1488.2;19;52;2024
240;49.05819185;11.29317422;37.3160505;4.795513667;-75.687788;7.24132;8;1488.6;19;52;2024
180;50.15739226;0.04029164;33.47016312;4.795449167;-75.68772883;9.1674;8;1492.5;19;52;2024
240;51.20563533;6.38808899;33.63779681;4.795402333;-75.6877325;7.33392;8;1493.1;19;52;2024
180;49.38881218;10.47053563;34.41915723;4.795300667;-75.6877735;10.16748;8;1493.1;19;52;2024
240;49.76731651;9.25548169;32.84907622;4.795256833;-75.68779483;10.42676;8;1495;19;52;2024
240;49.93741492;8.18971618;34.21021181;4.795111833;-75.687824;18.29776;8;1495;19;52;2024
180;49.78074025;10.94548732;36.3255557;4.795062333;-75.687827;13.92704;8;1495.7;19;52;2024
240;48.95180607;15.01682165;34.50192438;4.794937333;-75.687855;17.00136;8;1495.7;19;52;2024
240;48.54622997;15.79113328;38.02437899;4.794881333;-75.68786367;16.205;8;1495.7;19;52;2024
180;48.5196558;15.86380377;39.04237722;4.794796167;-75.68788333;13.13068;8;1495.7;19;52;2024
180;48.49160959;15.802314;37.8114596;4.794751667;-75.6879015;12.964;8;1498.3;19;52;2024
180;48.47618202;15.39425261;38.86207316;4.794671167;-75.68792717;11.79724;8;1498.3;19;52;2024
180;49.07768502;9.76285188;35.06758125;4.794616833;-75.68794633;16.09388;8;1499.9;19;52;2024
240;50.07588429;5.73321146;35.43541389;4.794514667;-75.68798833;18.31628;8;1499.9;19;52;2024
240;50.69641255;3.93215656;34.45929408;4.794461667;-75.68801117;19.59416;8;1500.7;19;52;2024
240;50.92181316;3.28317089;32.59418715;4.794360667;-75.68806233;18.29776;8;1500.7;19;52;2024
